case index 1 = {
los index, 0
num freq, 1298
num column, 15
Freq,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
[cm-1],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
2310, 3.31177e-24, 2.00798e-08, 5.93633e-14, 5.7316e-31, 1.09779e-18, 2.5812e-13, 3.00542e-32, 0, 2.00801e-08, 0, 1.16666e-06, 54.0646, 0.949948, 1.16666e-06, 246.146
2325, 0, 2.29729e-08, 1.94935e-13, 0, 1.35941e-17, 1.17613e-13, 0, 0, 2.29732e-08, 0, 1.17499e-06, 99.99, 0.949613, 1.17499e-06, 249.876
2340, 0, 2.39652e-08, 3.68861e-13, 0, 1.01749e-17, 8.6889e-14, 0, 0, 2.39657e-08, 0, 1.22045e-06, 99.99, 0.949282, 1.22045e-06, 251.921
2355, 0, 1.92309e-08, 3.88474e-13, 0, 1.45296e-17, 1.01294e-13, 0, 0, 1.92314e-08, 0, 1.23509e-06, 99.99, 0.948955, 1.23509e-06, 249.077
2370, 0, 1.44666e-08, 2.43719e-13, 0, 2.36131e-17, 1.79593e-13, 0, 0, 1.4467e-08, 0, 1.24972e-06, 99.99, 0.948633, 1.24972e-06, 245.189
2385, 0.000241687, 1.29204e-08, 2.01047e-11, 3.1846e-11, 1.37663e-15, 5.27278e-12, 1.69398e-12, 1.51606e-14, 1.29793e-08, 1.12438e-12, 1.26412e-06, 8.32787, 0.948314, 1.26412e-06, 244.5
2400, 0.410159, 3.16565e-08, 4.34954e-09, 5.11588e-08, 1.78298e-10, 2.80915e-10, 4.01869e-09, 2.49321e-09, 9.16427e-08, 1.8379e-07, 1.26851e-06, 0.891209, 0.948, 1.26851e-06, 285.403
2415, 0.52562, 2.45189e-08, 4.89527e-09, 6.2052e-08, 3.18081e-10, 4.1025e-10, 5.85216e-09, 4.21956e-09, 9.80467e-08, 3.09203e-07, 1.29408e-06, 0.643177, 0.947689, 1.29408e-06, 288.351
2430, 0.588289, 2.01394e-08, 5.05533e-09, 6.57269e-08, 4.19445e-10, 4.99223e-10, 7.16331e-09, 5.5249e-09, 9.90036e-08, 4.02496e-07, 1.30912e-06, 0.530536, 0.947383, 1.30912e-06, 289.929
2445, 0.616704, 1.72505e-08, 4.95717e-09, 6.52003e-08, 4.77406e-10, 5.44625e-10, 7.85867e-09, 6.26543e-09, 9.62886e-08, 4.53832e-07, 1.32414e-06, 0.483365, 0.94708, 1.32414e-06, 290.604
2460, 0.678146, 1.35287e-08, 5.05063e-09, 6.78373e-08, 6.02693e-10, 6.42496e-10, 9.40682e-09, 7.82138e-09, 9.70686e-08, 5.6335e-07, 1.33302e-06, 0.388392, 0.946781, 1.33302e-06, 292.138
2475, 0.704873, 1.12558e-08, 4.92378e-09, 6.67086e-08, 6.70384e-10, 6.89598e-10, 1.0192e-08, 8.64856e-09, 9.44402e-08, 6.19488e-07, 1.3424e-06, 0.349737, 0.946485, 1.3424e-06, 292.816
2490, 0.760551, 8.58168e-09, 4.94757e-09, 6.80893e-08, 8.13369e-10, 7.97274e-10, 1.19377e-08, 1.03834e-08, 9.5167e-08, 7.39714e-07, 1.35696e-06, 0.273712, 0.946193, 1.35696e-06, 294.337
2505, 0.805141, 6.34674e-09, 4.89149e-09, 6.81776e-08, 9.55459e-10, 8.99461e-10, 1.36547e-08, 1.2089e-08, 9.49255e-08, 8.56127e-07, 1.38431e-06, 0.216737, 0.945872, 1.38431e-06, 295.611
2520, 0.817603, 5.47479e-09, 4.68941e-09, 6.54723e-08, 1.012e-09, 9.38142e-10, 1.4313e-08, 1.27509e-08, 9.18996e-08, 8.96703e-07, 1.40048e-06, 0.201378, 0.945492, 1.40048e-06, 296.159
2535, 0.789995, 5.8235e-09, 4.36284e-09, 5.98192e-08, 9.62194e-10, 9.01073e-10, 1.36781e-08, 1.21573e-08, 8.55468e-08, 8.49104e-07, 1.41571e-06, 0.235728, 0.945116, 1.41571e-06, 295.761
2550, 0.731971, 6.74861e-09, 3.9517e-09, 5.24043e-08, 8.35468e-10, 8.11795e-10, 1.2146e-08, 1.0718e-08, 7.68979e-08, 7.43545e-07, 1.42975e-06, 0.312015, 0.944745, 1.42975e-06, 294.543
2565, 0.761402, 5.89268e-09, 3.84678e-09, 5.15349e-08, 9.1806e-10, 8.73093e-10, 1.31373e-08, 1.16763e-08, 7.62028e-08, 8.04687e-07, 1.4335e-06, 0.272593, 0.944378, 1.4335e-06, 295.642
